elevator_id,location,license_status,license_expiry
10692,241 JARVIS ST  TORONTO M5B 2C2 ON CA,PENDING_RENEWAL,2017-03-29
10735,241 JARVIS ST  TORONTO M5B 2C2 ON CA,PENDING_RENEWAL,2017-03-15
10753,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,ACTIVE,2017-01-15
10754,VINELAND RESEARCH STATION 4902 VICTORIA AVE N LINCOLN L0R 2E0 ON CA,ACTIVE,2017-11-08
10848,225 JARVIS ST  TORONTO M5B 2C1 ON CA,ACTIVE,2017-03-15
10852,225 JARVIS ST  TORONTO M5B 2C1 ON CA,ACTIVE,2017-03-15
10853,225 JARVIS ST  TORONTO M5B 2C1 ON CA,ACTIVE,2017-03-15
10854,225 JARVIS ST  TORONTO M5B 2C1 ON CA,ACTIVE,2017-03-15
1093,22 RESEARCH RD  TORONTO M4G 2G6 ON CA,PENDING_RENEWAL,2017-06-15
1094,22 RESEARCH RD  TORONTO M4G 2G6 ON CA,PENDING_RENEWAL,2017-06-15
1099,491 LAWRENCE AV W  TORONTO M5M 1C7 ON CA,ACTIVE,2017-01-15
11,111 WELLESLEY ST W  TORONTO M7A 1A2 ON CA,ACTIVE,2017-04-15
11003,75 SPENCER AVE  TORONTO M6K 2K3 ON CA,ACTIVE,2017-09-15
11010,489 COLLEGE ST  TORONTO M6G 1A5 ON CA,ACTIVE,2017-02-15
11011,211 YONGE ST  TORONTO M5B 1M4 ON CA,ACTIVE,2017-07-15
11013,345 ADELAIDE ST W  TORONTO M5V 1R5 ON CA,ACTIVE,2017-08-15
11014,317 ADELAIDE ST W  TORONTO M5V 1P9 ON CA,ACTIVE,2017-10-15
11015,317 ADELAIDE ST W  TORONTO M5V 1P9 ON CA,ACTIVE,2017-10-15
11021,326 ADELAIDE ST W  TORONTO M5V 1R3 ON CA,ACTIVE,2017-10-15
11023,159 RUSSELL HILL RD  TORONTO M4V 2S9 ON CA,ACTIVE,2017-07-15
11024,177 JAMESON AVE  TORONTO M6K 2Y7 ON CA,ACTIVE,2017-09-30
11025,177 JAMESON AVE  TORONTO M6K 2Y7 ON CA,ACTIVE,2017-09-30
11026,91 KING ST E  TORONTO M5C 1G3 ON CA,ACTIVE,2017-07-15
11027,10 LAMPORT AV  TORONTO M4W 1S6 ON CA,ACTIVE,2017-01-31
11028,1639 BLOOR ST W  TORONTO M6P 1A6 ON CA,ACTIVE,2016-12-15
11029,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,ACTIVE,2017-04-03
11030,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,ACTIVE,2017-05-02
11031,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,ACTIVE,2017-02-02
11032,166 CARLTON ST  TORONTO M5A 2K5 ON CA,ACTIVE,2017-10-15
11033,166 CARLTON ST  TORONTO M5A 2K5 ON CA,ACTIVE,2017-10-15
11039,284 KING ST W  TORONTO M5V 1J2 ON CA,ACTIVE,2017-09-15
11041,3110 YONGE ST  TORONTO M4N 2K6 ON CA,ACTIVE,2017-08-15
11042,3112 YONGE ST  TORONTO M4N 2K6 ON CA,ACTIVE,2017-08-15
11046,243 COLLEGE ST  TORONTO M5T 1R5 ON CA,ACTIVE,2017-05-15
11047,615 YONGE ST  TORONTO M4Y 1Z5 ON CA,ACTIVE,2017-11-15
11049,82 PETER ST  TORONTO M5V 2G5 ON CA,ACTIVE,2017-08-15
11050,500 AVENUE RD  TORONTO M4V 2J6 ON CA,ACTIVE,2017-03-15
11051,500 AVENUE RD  TORONTO M4V 2J6 ON CA,ACTIVE,2017-03-15
11052,171 ST CLAIR AVE E  TORONTO M4T 1N9 ON CA,ACTIVE,2017-06-15
11053,581 AVENUE RD  TORONTO M4V 2K4 ON CA,ACTIVE,2017-06-15
11054,266 KING ST  TORONTO M5V 1J2 ON CA,ACTIVE,2016-12-18
11055,48 ISABELLA ST  TORONTO M4Y 1N2 ON CA,ACTIVE,2017-02-19
11056,48 ISABELLA ST  TORONTO M4Y 1N2 ON CA,ACTIVE,2017-02-19
11057,169 JAMESON AVE  TORONTO M6K 2Y6 ON CA,ACTIVE,2017-07-13
11061,511 KING ST W  TORONTO M5V 1K4 ON CA,ACTIVE,2016-12-15
11062,119 SPADINA AVE  TORONTO M5V 2L1 ON CA,ACTIVE,2017-08-15
11063,119 SPADINA AVE  TORONTO M5V 2L1 ON CA,ACTIVE,2017-08-15
11064,44-50 BALLIOL ST  TORONTO M4S 1C1 ON CA,ACTIVE,2016-12-15
11065,150 BALMORAL AVE  TORONTO M4V 1J4 ON CA,ACTIVE,2017-08-15
11066,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,ACTIVE,2017-11-03
11067,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,ACTIVE,2017-11-03
11068,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,ACTIVE,2017-11-03
