ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
10,111 WELLESLEY ST W  TORONTO M7A 1A2 ON CA,EDLIC-000010,ACTIVE,28-Apr-17,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,data redacted,99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO ON M7A 1A2 CA,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,"99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO, ON, M7A 1A2, CA",data redacted
100,1804 HIGHWAY 2 E  BROCKVILLE K6V 5T1 ON CA,170719,BY REQUEST,12-Dec-14,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"333 PRESTON ST 7TH FLR PRESTON SQUARE TOWER 1 OTTAWA, ON, K1S 5N4, CA",data redacted
10047,162 PEMBROKE ST W  PEMBROKE K8A 5M8 ON CA,EDLIC-010047,BY REQUEST,15-Mar-08,PROFAC MANAGEMENT GROUP LTD,data redacted,304 THE EAST MALL P.O. # 653058-Y3-20610 TORONTO ON M9B 6E2 CA,PROFAC MANAGEMENT GROUP LTD,"304 THE EAST MALL P.O. # 653058-Y3-20610 TORONTO, ON, M9B 6E2, CA",data redacted
10054,541 SUSSEX DR  OTTAWA K1N 6Z6 ON CA,EDLIC-010054,BY REQUEST,01-Oct-05,DEPARTMENT OF PUBLIC WORKS & GOVERNMENT SERVICES CANADA,data redacted,4900 YONGE ST 11TH FLOOR TORONTO ON M2N 6A6 CA,DEPARTMENT OF PUBLIC WORKS & GOVERNMENT SERVICES CANADA,"4900 YONGE ST 11TH FLOOR TORONTO, ON, M2N 6A6, CA",data redacted
1009,404 MAIN ST  WOODSTOCK N4S 7X5 ON CA,EDLIC-001009,ACTIVE,15-Jul-17,AGRIBRANDS PURINA CANADA INC,data redacted,404 MAIN ST PO BOX 250 WOODSTOCK ON N4S 7X5 CA,AGRIBRANDS PURINA CANADA INC,"404 MAIN ST PO BOX 250 WOODSTOCK, ON, N4S 7X5, CA",data redacted
101,1804 HIGHWAY 2 E  BROCKVILLE K6V 5T1 ON CA,172550,BY REQUEST,12-Dec-14,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"333 PRESTON ST 7TH FLR PRESTON SQUARE TOWER 1 OTTAWA, ON, K1S 5N4, CA",data redacted
10134,320 SUSSEX DR  OTTAWA K1A 0G8 ON CA,EDLIC-010134,CANCELLED_NOT_RENEWED,15-Mar-86,ROYAL CANADIAN MINT ATTN: ACCOUNTS PAYABLE DEPARTMENT,data redacted,320 SUSSEX DR  OTTAWA ON K1A 0G8 CA,ROYAL CANADIAN MINT ATTN: ACCOUNTS PAYABLE DEPARTMENT,"320 SUSSEX DR  OTTAWA, ON, K1A 0G8, CA",data redacted
10145,45 SECOND ST E  CORNWALL K6H 1V5 ON CA,EDLIC-010145,ACTIVE,15-Mar-17,CORNWALL PUBLIC LIBRARY,data redacted,45 SECOND ST E P.O.BOX 939 CORNWALL ON K6H 5V1 CA,CORNWALL PUBLIC LIBRARY,"45 SECOND ST E P.O.BOX 939 CORNWALL, ON, K6H 5V1, CA",data redacted
1018,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001018,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
1019,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001019,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
1020,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001020,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
1021,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001021,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
1022,150 SIMCOE ST  LONDON N6A 4M3 ON CA,EDLIC-001022,ACTIVE,15-Oct-17,LABATT LONDON -LONDON BREWERY,data redacted,150 SIMCOE ST PO BOX 5050 STN B LONDON ON N6A 4M3 CA,LABATT LONDON -LONDON BREWERY,"150 SIMCOE ST PO BOX 5050 STN B LONDON, ON, N6A 4M3, CA",data redacted
10222,2785 RIVERSIDE DR  OTTAWA K1A 0Y3 ON CA,EDLIC-010222,CANCELLED_NOT_RENEWED,15-Mar-14,BROOKFIELD LEPAGE JOHNSON CONTROLS,data redacted,720 HERON RD  OTTAWA ON K1A 0B1 CA,BROOKFIELD LEPAGE JOHNSON CONTROLS,"720 HERON RD  OTTAWA, ON, K1A 0B1, CA",data redacted
10228,36 WINNIPEG ST  CLINTON N0M 1L0 ON CA,EDLIC-010228,BY REQUEST,15-Jul-00,PUPOLIN PLUMBING & HEATING,data redacted,2951 HWY 7 W  CONCORD ON L4K 1B6 CA,PUPOLIN PLUMBING & HEATING,"2951 HWY 7 W  CONCORD, ON, L4K 1B6, CA",data redacted
10246,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010246,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10255,193 CHURCH ST  OAKVILLE L6J 1N3 ON CA,223355,ACTIVE,04-Feb-17,CORPORATION OF THE TOWN OF OAKVILLE,data redacted,1225 TRAFALGAR RD  OAKVILLE ON L6H 0H3 CA,CORPORATION OF THE TOWN OF OAKVILLE,"1225 TRAFALGAR RD  OAKVILLE, ON, L6H 0H3, CA",data redacted
10264,75 WATERLOO ST GOVERNMENT OF CANADA BLDG STRATFORD N5A 7B2 ON CA,EDLIC-010264,ACTIVE,01-Oct-17,EUROPRO (STRATFORD) JJ HOLDINGS INC.,data redacted,310 WILSON AVE  TORONTO ON M3H 1S8 CA,EUROPRO (STRATFORD) JJ HOLDINGS INC.,"310 WILSON AVE  TORONTO, ON, M3H 1S8, CA",data redacted
10300,WESTERN RD  LONDON N6G 1H1 ON CA,EDLIC-010300,ACTIVE,15-Mar-17,UNIVERSITY OF WESTERN ONTARIO,data redacted,1393 WESTERN RD ROOM 2350 LONDON ON N6G 1G9 CA,UNIVERSITY OF WESTERN ONTARIO,"1393 WESTERN RD ROOM 2350 LONDON, ON, N6G 1G9, CA",data redacted
10310,388 DUNDAS ST  LONDON N6B 1V7 ON CA,EDLIC-010310,CANCELLED_NOT_RENEWED,15-Oct-07,LONDON TOWER INVESTMENTS LTD C/O TAFT FORWARD PROPERTY MGMT GROUP,data redacted,250 DAVISVILLE AVE Suite 108 TORONTO ON M4S 1H2 CA,LONDON TOWER INVESTMENTS LTD C/O TAFT FORWARD PROPERTY MGMT GROUP,"250 DAVISVILLE AVE Suite 108 TORONTO, ON, M4S 1H2, CA",data redacted
10316,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010316,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10319,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010319,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10333,DEVONSHIRE RD  WALKERVILLE N8Y 2L0 ON CA,EDLIC-010333,ACTIVE,15-Mar-17,1068414 ONTARIO INC ATTN MIKE BRKOVICH,data redacted,685 VICTORIA AVE  WINDSOR ON N9A 4W3 CA,1068414 ONTARIO INC ATTN MIKE BRKOVICH,"685 VICTORIA AVE  WINDSOR, ON, N9A 4W3, CA",data redacted
10357,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,EDLIC-010357,ACTIVE,15-Mar-17,EUROPRO (WORTHINGTON) HOLDINGS INC.,data redacted,310 WILSON AVE  TORONTO ON M3H 1S8 CA,EUROPRO (WORTHINGTON) HOLDINGS INC.,"310 WILSON AVE  TORONTO, ON, M3H 1S8, CA",data redacted
10358,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,EDLIC-010358,ACTIVE,15-Mar-17,EUROPRO (WORTHINGTON) HOLDINGS INC.,data redacted,310 WILSON AVE  TORONTO ON M3H 1S8 CA,EUROPRO (WORTHINGTON) HOLDINGS INC.,"310 WILSON AVE  TORONTO, ON, M3H 1S8, CA",data redacted
10359,101 WORTHINGTON ST EAST  NORTH BAY P1B 1G5 ON CA,EDLIC-010359,ACTIVE,15-Mar-17,EUROPRO (WORTHINGTON) HOLDINGS INC.,data redacted,310 WILSON AVE  TORONTO ON M3H 1S8 CA,EUROPRO (WORTHINGTON) HOLDINGS INC.,"310 WILSON AVE  TORONTO, ON, M3H 1S8, CA",data redacted
10371,14 WATER ST EAST  LITTLE CURRENT P0P 1K0 ON CA,247048,ACTIVE,26-Apr-17,THE CORPORATION OF THE TOWN OF NORTHEASTERN MANITOULIN AND THE ISLANDS,data redacted,14 WATER ST EAST PO BOX 608 LITTLE CURRENT ON P0P 1K0 CA,THE CORPORATION OF THE TOWN OF NORTHEASTERN MANITOULIN AND THE ISLANDS,"14 WATER ST EAST PO BOX 608 LITTLE CURRENT, ON, P0P 1K0, CA",data redacted
10396,50 RIDEAU ST  OTTAWA K1N 9J7 ON CA,EDLIC-010396,ACTIVE,15-Mar-17,VIKING RIDEAU CORP,data redacted,50 RIDEAU ST SUITE 300 OTTAWA ON K1N 9J7 CA,VIKING RIDEAU CORP,"50 RIDEAU ST SUITE 300 OTTAWA, ON, K1N 9J7, CA",data redacted
10397,50 RIDEAU ST  OTTAWA K1N 9J7 ON CA,EDLIC-010397,ACTIVE,15-Mar-17,VIKING RIDEAU CORP,data redacted,50 RIDEAU ST SUITE 300 OTTAWA ON K1N 9J7 CA,VIKING RIDEAU CORP,"50 RIDEAU ST SUITE 300 OTTAWA, ON, K1N 9J7, CA",data redacted
10427,901 3RD AVE E  OWEN SOUND N4K 2K7 ON CA,200209,ACTIVE,27-Sep-17,THOM HOLDINGS INC,data redacted,PO BOX 40  OWEN SOUND ON N4K 5P1 CA,THOM HOLDINGS INC,"PO BOX 40  OWEN SOUND, ON, N4K 5P1, CA",data redacted
10439,228 DUNDAS ST E  BELLEVILLE K8N 1E4 ON CA,260833,ACTIVE,07-Feb-17,9087958 CANADA LTD,data redacted,173 ADVANCE BLVD UNIT 55 BRAMPTON ON L6T 4H9 CA,9087958 CANADA LTD,"173 ADVANCE BLVD UNIT 55 BRAMPTON, ON, L6T 4H9, CA",data redacted
10457,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,172656,ACTIVE,29-Jan-17,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"45 MAIN ST E SUITE 107 HAMILTON, ON, L8N 2B7, CA",data redacted
10458,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,172657,ACTIVE,29-Jan-17,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"45 MAIN ST E SUITE 107 HAMILTON, ON, L8N 2B7, CA",data redacted
10460,18 FRONT ST N  THOROLD L2V 1X4 ON CA,262646,ACTIVE,14-Mar-17,1923210 ONTARIO LTD,data redacted,12 ALBERT ST W  THOROLD ON L2V 2E9 CA,1923210 ONTARIO LTD,"12 ALBERT ST W  THOROLD, ON, L2V 2E9, CA",data redacted
10462,138 WYNDHAM ST N  GUELPH N1H 4E8 ON CA,EDLIC-010462,ACTIVE,15-Mar-17,COUNTY OF WELLINGTON,data redacted,74 WOOLWICH ST  GUELPH ON N1H 3T9 CA,COUNTY OF WELLINGTON,"74 WOOLWICH ST  GUELPH, ON, N1H 3T9, CA",data redacted
10466,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,172658,ACTIVE,29-Jan-17,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"45 MAIN ST E SUITE 107 HAMILTON, ON, L8N 2B7, CA",data redacted
10467,45 MAIN ST E  HAMILTON L8N 2B7 ON CA,172659,ACTIVE,29-Jan-17,INFRASTRUCTURE ONTARIO AND LANDS CORPORATION,data redacted,18 KING ST E  TORONTO ON M5C 1C4 CA,CB RICHARD ELLIS GLOBAL CORPORATE SERVICES,"45 MAIN ST E SUITE 107 HAMILTON, ON, L8N 2B7, CA",data redacted
1049,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001049,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1050,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001050,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1051,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001051,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1052,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001052,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1053,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001053,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1054,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001054,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
1055,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001055,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
10554,205 CHARLOTTE ST  PETERBOROUGH K9J 2T7 ON CA,EDLIC-010554,ACTIVE,28-Feb-17,AON INC,data redacted,307 AYLMER ST N P O BOX 296 PETERBOROUGH ON K9J 6Y8 CA,AON INC,"307 AYLMER ST N P O BOX 296 PETERBOROUGH, ON, K9J 6Y8, CA",data redacted
1056,255 DUFFERIN AVE  LONDON N6A 4K1 ON CA,EDLIC-001056,ACTIVE,15-Feb-17,LONDON LIFE INSURANCE COMPANY,data redacted,255 DUFFERIN AVE  LONDON ON N6A 4K1 CA,LONDON LIFE INSURANCE COMPANY,"255 DUFFERIN AVE  LONDON, ON, N6A 4K1, CA",data redacted
10561,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010561,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10562,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010562,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10563,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010563,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10564,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010564,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10565,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,269866,ACTIVE,26-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
10566,30 ADELAIDE ST E  TORONTO M5C 3G8 ON CA,EDLIC-010566,ACTIVE,31-Jul-17,30 ADELAIDE STREET EAST INC,data redacted,30 ADELAIDE ST E SUITE 1600 TORONTO ON M5C 3H1 CA,30 ADELAIDE STREET EAST INC,"30 ADELAIDE ST E SUITE 1600 TORONTO, ON, M5C 3H1, CA",data redacted
1059,27 GAMBLE AV  TORONTO M4K 2H5 ON CA,271471,PENDING_RENEWAL,18-Aug-17,SUNSHINE APARTMENTS   ATTN: K MIENKOWSKI,data redacted,2 GLEN GORDON RD  TORONTO ON M6P 1B8 CA,SUNSHINE APARTMENTS   ATTN: K MIENKOWSKI,"2 GLEN GORDON RD  TORONTO, ON, M6P 1B8, CA",data redacted
10592,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010592,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10593,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010593,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10594,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010594,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10595,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010595,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
10596,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010596,EXPIRED,15-Jan-98,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON ON N6C 6B5 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"188 STRONACH CRES  LONDON, ON, N5V 3A1, CA",data redacted
10608,217 YORK ST  LONDON N6A 5P9 ON CA,154161,ACTIVE,12-Nov-17,LIBRO FINANCIAL GROUP,data redacted,167 CENTRAL AVE  LONDON ON N6A 1M6 CA,1STLINE PROPERTY MANAGEMENT,"217 YORK ST  LONDON, ON, N6A 5P9, CA",data redacted
10609,217 YORK ST  LONDON N6A 5P9 ON CA,154162,ACTIVE,12-Nov-17,LIBRO FINANCIAL GROUP,data redacted,167 CENTRAL AVE  LONDON ON N6A 1M6 CA,1STLINE PROPERTY MANAGEMENT,"217 YORK ST  LONDON, ON, N6A 5P9, CA",data redacted
10610,31 LAKESHORE RD E  PORT CREDIT L5G 1Z0 ON CA,EDLIC-010610,BY REQUEST,30-Oct-12,CANADA POST - SOUTH CENTRAL LLP,data redacted,2701 RIVERSIDE DR SUITE B BUILDING B OTTAWA ON K1A 0B1 CA,CANADA POST - SOUTH CENTRAL LLP,"969 EASTERN AVE  TORONTO, ON, M4L 1A5, CA",data redacted
10611,3929 CARP RD  CARP K0A 1L0 ON CA,259725,ACTIVE,15-Mar-17,"DIEFENBUNKER, CANADA'S COLD WAR MUSEUM",data redacted,3929 CARP RD  CARP ON K0A 1L0 CA,"DIEFENBUNKER, CANADA'S COLD WAR MUSEUM","3929 CARP RD PO BOX 466 CARP, ON, K0A 1L0, CA",data redacted
10620,217 YORK ST  LONDON N6A 5P9 ON CA,154164,ACTIVE,12-Nov-17,LIBRO FINANCIAL GROUP,data redacted,167 CENTRAL AVE  LONDON ON N6A 1M6 CA,1STLINE PROPERTY MANAGEMENT,"217 YORK ST  LONDON, ON, N6A 5P9, CA",data redacted
10621,217 YORK ST  LONDON N6A 5P9 ON CA,154166,ACTIVE,12-Nov-17,LIBRO FINANCIAL GROUP,data redacted,167 CENTRAL AVE  LONDON ON N6A 1M6 CA,1STLINE PROPERTY MANAGEMENT,"217 YORK ST  LONDON, ON, N6A 5P9, CA",data redacted
1063,114 MAY ST S  THUNDER BAY P7E 6M4 ON CA,269791,ACTIVE,25-Jul-17,1561279 ONTARIO LTD.,data redacted,325 ARCHIBALD ST S  THUNDER BAY ON P7E 1G6 CA,1561279 ONTARIO LTD.,"325 ARCHIBALD ST S  THUNDER BAY, ON, P7E 1G6, CA",data redacted
10687,44 GAUKEL ST  KITCHENER N2G 4P3 ON CA,EDLIC-010687,ACTIVE,30-Oct-17,CITY OF KITCHENER,data redacted,200 KING ST W PO BOX 1118 KITCHENER ON N2G 4G7 CA,CITY OF KITCHENER,"200 KING ST W PO BOX 1118 KITCHENER, ON, N2G 4G7, CA",data redacted
10691,241 JARVIS ST  TORONTO M5B 2C2 ON CA,EDLIC-010691,PENDING_RENEWAL,15-Mar-17,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,data redacted,3100 STEELES AVE E Suite 601 MARKHAM ON L3R 8T3 CA,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,"3100 STEELES AVE E Suite 601 MARKHAM, ON, L3R 8T3, CA",data redacted
10692,241 JARVIS ST  TORONTO M5B 2C2 ON CA,EDLIC-010692,PENDING_RENEWAL,29-Mar-17,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,data redacted,3100 STEELES AVE E Suite 601 MARKHAM ON L3R 8T3 CA,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,"3100 STEELES AVE E Suite 601 MARKHAM, ON, L3R 8T3, CA",data redacted
10728,602 WELLINGTON AVE  WALLACEBURG N8A 2Y0 ON CA,EDLIC-010728,CANCELLED_NOT_RENEWED,15-Mar-00,CANADA POST - SOUTH CENTRAL LLP,data redacted,2701 RIVERSIDE DR SUITE B BUILDING B OTTAWA ON K1A 0B1 CA,CANADA POST - SOUTH CENTRAL LLP,"969 EASTERN AVE  TORONTO, ON, M4L 1A5, CA",data redacted
10735,241 JARVIS ST  TORONTO M5B 2C2 ON CA,EDLIC-010735,PENDING_RENEWAL,15-Mar-17,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,data redacted,3100 STEELES AVE E Suite 601 MARKHAM ON L3R 8T3 CA,1293446 ONTARIO INC O/A HILTON GARDEN INN TORONTO/CITY CENTRE,"3100 STEELES AVE E Suite 601 MARKHAM, ON, L3R 8T3, CA",data redacted
10737,473 OAKWOOD AVE  TORONTO M6E 2W4 ON CA,EDLIC-010737,TERMINATED,30-Oct-13,CANADA POST - SOUTH CENTRAL LLP,data redacted,2701 RIVERSIDE DR SUITE B BUILDING B OTTAWA ON K1A 0B1 CA,CANADA POST - SOUTH CENTRAL LLP,"969 EASTERN AVE  TORONTO, ON, M4L 1A5, CA",data redacted
10753,800 COMMISSIONERS RD E PLANNING FACILITIES LONDON N6C 6B5 ON CA,EDLIC-010753,ACTIVE,15-Jan-17,LONDON HEALTH SCIENCE CENTRE C/O HMMS,data redacted,800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON ON N6A 5W9 CA,LONDON HEALTH SCIENCE CENTRE C/O HMMS,"800 COMMISSIONS RD E BUILDNG 16 ROOM G1-125A LONDON, ON, N6A 5W9, CA",data redacted
