ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
35843,523 PORTSMOUTH AVE  KINGSTON K7M 7H6 ON CA,EDLIC-035843,ACTIVE,15-Jun-17,HOMESTEAD LAND HOLDINGS LIMITED-KINGSTON,data redacted,80 JOHNSON ST  KINGSTON ON K7L 1X7 CA,HOMESTEAD LAND HOLDINGS LIMITED-KINGSTON,"80 JOHNSON ST  KINGSTON, ON, K7L 1X7, CA",data redacted
35844,2215 GLADWIN CRES  OTTAWA K1B 4K9 ON CA,EDLIC-035844,ACTIVE,15-Dec-16,BGV III OFFICE OTTAWA 1 LTD PARTNERSHIP,data redacted,2215 GLADWIN CRES  OTTAWA ON K1B 4K9 CA,BGV III OFFICE OTTAWA 1 LTD PARTNERSHIP,"190 O' CONNOR ST 11TH FLOOR OTTAWA, ON, K2P 2R3, CA",data redacted
35847,50 RIDEAU ST SUITE 300 OTTAWA K1N 9J7 ON CA,EDLIC-035847,ACTIVE,15-Apr-17,VIKING RIDEAU CORP,data redacted,50 RIDEAU ST SUITE 300 OTTAWA ON K1N 9J7 CA,VIKING RIDEAU CORP,"50 RIDEAU ST SUITE 300 OTTAWA, ON, K1N 9J7, CA",data redacted
35848,6850 GOREWAY DR  MISSISSAUGA L4V 1P1 ON CA,EDLIC-035848,BY REQUEST,15-Mar-09,"NPS PHARMACEUTICALS, INC ATTN:  ACCOUNTS PAYABLE",data redacted,550 HILLS DR 3RD FLOOR BEDMINSTER  07921 US,"NPS PHARMACEUTICALS, INC ATTN:  ACCOUNTS PAYABLE","550 HILLS DR 3RD FLOOR BEDMINSTER, , 07921, US",data redacted
35849,1540 PICKERING PKY  PICKERING L1V 3V9 ON CA,EDLIC-035849,ACTIVE,15-Oct-17,DURHAM CONDO CORP #136 C/O VILLAGE AT THE PINES,data redacted,1525 DIEFENBAKER CRT Suite 115 PICKERING ON L1V 3W1 CA,DURHAM CONDO CORP #136 C/O VILLAGE AT THE PINES,"1525 DIEFENBAKER CRT Suite 115 PICKERING, ON, L1V 3W1, CA",data redacted
35850,1540 PICKERING PKY  PICKERING L1V 3V9 ON CA,EDLIC-035850,ACTIVE,15-Oct-17,DURHAM CONDO CORP #136 C/O VILLAGE AT THE PINES,data redacted,1525 DIEFENBAKER CRT Suite 115 PICKERING ON L1V 3W1 CA,DURHAM CONDO CORP #136 C/O VILLAGE AT THE PINES,"1525 DIEFENBAKER CRT Suite 115 PICKERING, ON, L1V 3W1, CA",data redacted
35853,1400 PLAINS RD E  BURLINGTON L7R 3P8 ON CA,EDLIC-035853,TERMINATED,15-Apr-13,1594465 ONTARIO INC C/O STONEGATE PROPERTIES INC,data redacted,35 CRAWFORD CRES PO BOX 117 CAMPBELLVILLE ON L0P 1B0 CA,1594465 ONTARIO INC C/O STONEGATE PROPERTIES INC,"35 CRAWFORD CRES PO BOX 117 CAMPBELLVILLE, ON, L0P 1B0, CA",data redacted
35854,601 DUNDAS ST E  WHITBY L1N 7B8 ON CA,EDLIC-035854,ACTIVE,15-Feb-17,ONURB CONSTRUCTION LTD,data redacted,601 DUNDAS ST E Suite 501 WHITBY ON L1N 7B8 CA,ONURB CONSTRUCTION LTD,"601 DUNDAS ST E Suite 501 WHITBY, ON, L1N 7B8, CA",data redacted
35855,250 DUNDAS ST W  TORONTO M5T 2Z6 ON CA,191102,ACTIVE,31-Jul-17,DUNDEAL CANADA (GP) INC,data redacted,250 DUNDAS ST W  TORONTO ON M5T 2Z6 CA,DUNDEAL CANADA (GP) INC,"C/O DUNDEE REALTY MANAGEMENT CORP 150 YORK ST TORONTO, ON, M5H 3S5, CA",data redacted
35856,250 DUNDAS ST W  TORONTO M5T 2Z6 ON CA,191105,ACTIVE,31-Jul-17,DUNDEAL CANADA (GP) INC,data redacted,250 DUNDAS ST W  TORONTO ON M5T 2Z6 CA,DUNDEAL CANADA (GP) INC,"C/O DUNDEE REALTY MANAGEMENT CORP 150 YORK ST TORONTO, ON, M5H 3S5, CA",data redacted
35857,250 DUNDAS ST W  TORONTO M5T 2Z6 ON CA,191103,ACTIVE,31-Jul-17,DUNDEAL CANADA (GP) INC,data redacted,250 DUNDAS ST W  TORONTO ON M5T 2Z6 CA,DUNDEAL CANADA (GP) INC,"C/O DUNDEE REALTY MANAGEMENT CORP 150 YORK ST TORONTO, ON, M5H 3S5, CA",data redacted
35859,4600 BATHURST ST  NORTH YORK M2R 1W6 ON CA,EDLIC-035859,ACTIVE,15-Dec-16,JEWISH FEDERATION OF GREATER TORONTO,data redacted,4600 BATHURST ST  NORTH YORK ON M2R 1W6 CA,JEWISH FEDERATION OF GREATER TORONTO,"4600 BATHURST ST  NORTH YORK, ON, M2R 1W6, CA",data redacted
35860,50 RIDEAU ST SUITE 300 OTTAWA K1N 9J7 ON CA,EDLIC-035860,ACTIVE,15-Jan-17,VIKING RIDEAU CORP,data redacted,50 RIDEAU ST SUITE 300 OTTAWA ON K1N 9J7 CA,VIKING RIDEAU CORP,"50 RIDEAU ST SUITE 300 OTTAWA, ON, K1N 9J7, CA",data redacted
35861,30 BURNHILL RD  SCARBOROUGH M1L 4R8 ON CA,EDLIC-035861,ACTIVE,15-Mar-17,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,data redacted,1131A LESLIE ST SUITE 500 TORONTO ON M3C 3L8 CA,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,"1131A LESLIE ST SUITE 500 TORONTO, ON, M3C 3L8, CA",data redacted
35862,30 BURNHILL RD  SCARBOROUGH M1L 4R8 ON CA,EDLIC-035862,ACTIVE,15-Mar-17,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,data redacted,1131A LESLIE ST SUITE 500 TORONTO ON M3C 3L8 CA,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,"1131A LESLIE ST SUITE 500 TORONTO, ON, M3C 3L8, CA",data redacted
35863,30 BURNHILL RD  SCARBOROUGH M1L 4R8 ON CA,EDLIC-035863,ACTIVE,15-Mar-17,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,data redacted,1131A LESLIE ST SUITE 500 TORONTO ON M3C 3L8 CA,1519024 ONTARIO IN. C.O.B  HILLBURN APARTMENTS,"1131A LESLIE ST SUITE 500 TORONTO, ON, M3C 3L8, CA",data redacted
35865,343 WILSON AVE  NORTH YORK M3H 1T1 ON CA,EDLIC-035865,ACTIVE,15-Dec-16,KAYO INC,data redacted,3595 BATHURST ST  TORONTO ON M6A 2E2 CA,KAYO INC,"3595 BATHURST ST  TORONTO, ON, M6A 2E2, CA",data redacted
35866,2597 ALTA VISTA DR  OTTAWA K1V 7T3 ON CA,EDLIC-035866,ACTIVE,15-Dec-16,OTTAWA - CARLETON DISTRICT SCHOOL BOARD,data redacted,1224 MAIN STREET  STITTSVILLE ON K2S 1S6 CA,OTTAWA - CARLETON DISTRICT SCHOOL BOARD,"1224 MAIN STREET  STITTSVILLE, ON, K2S 1S6, CA",data redacted
35867,1480 PICKERING PKY  PICKERING L1V 3V7 ON CA,EDLIC-035867,ACTIVE,15-Oct-17,CAP REIT- CANADIAN APARTMENT PROPERTIES REAL ESTATE INVESTMENT TRUST,data redacted,11 CHURCH ST SUITE 401  TORONTO ON M5E 1W1 CA,CAP REIT- CANADIAN APARTMENT PROPERTIES REAL ESTATE INVESTMENT TRUST,"11 CHURCH ST SUITE 401  TORONTO, ON, M5E 1W1, CA",data redacted
